Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
16100,525869,0.0888,-3910.3203,40.5100,44848.3828,286.43,28.6874,-0.9538,-22.0275,-5.1756,57.3747,18.4281,-111.8336,-1.0802,-0.0100
16200,538576,0.0837,-2760.8887,38.3900,131045.4297,565.01,27.7449,-0.9466,-20.8501,-5.2644,55.4899,16.8112,-103.3703,-1.1553,-0.0100
16300,554209,0.0779,-1575.6883,50.7500,82804.6328,907.90,29.5894,-0.9268,-20.2406,-5.1234,59.1787,19.4438,-102.9948,-1.0112,-0.0100
16400,571454,0.0720,-180.0745,57.7100,26532.5156,1304.00,30.2255,-0.9179,-20.3321,-5.1056,60.4509,19.2013,-98.6338,-0.9602,-0.0100
16500,589115,0.0663,838.5129,59.5200,88735.3984,1695.23,30.2046,-0.9204,-20.2203,-5.0396,60.4091,19.8346,-94.0081,-0.9774,-0.0100
16600,609950,0.0603,2622.7755,73.1300,43963.6406,2157.14,31.7460,-0.9033,-18.5346,-5.0878,63.4919,20.7347,-90.9533,-0.8547,-0.0100
16700,629921,0.0550,4311.6379,69.6000,70762.5859,2600.02,31.2815,-0.8954,-18.3190,-4.9420,62.5630,21.1298,-85.8365,-0.8860,-0.0100
16800,653585,0.0493,5989.8546,85.5800,55271.1094,3127.04,32.6935,-0.9117,-17.9287,-4.9874,65.3870,22.5026,-83.1612,-0.7884,-0.0100
16900,672806,0.0451,5696.9669,67.0800,187863.1406,3555.71,29.8361,-0.9268,-18.1263,-5.0186,59.6721,20.4699,-70.6731,-1.0266,-0.0100
17000,694165,0.0409,5763.6951,75.2400,28395.7363,4052.51,31.7789,-0.9828,-19.0303,-5.1083,63.5579,23.0374,-75.4796,-0.8374,-0.0100
